SMILES,QED,Score
N#Cc1ccc(S(=O)(=O)NCc2cc(F)ccc2O)cc1,0.9021268,0.9021268
Cc1cncc(NS(=O)(=O)Nc2cncc(C)c2)c1,0.8937509,0.8937509
O=S(=O)(Cc1ccco1)Nc1ccc(Br)cc1,0.9431643,0.9431643
O=C(COc1ccccc1)NC(=O)c1ccccc1F,0.928363,0.928363
O=S(=O)(NCc1ccccn1)c1ccc(F)cc1,0.9159245,0.9159245
Cc1ccccc1S(=O)(=O)Nc1ccccc1C#N,0.9334094,0.9334094
Cc1ccc(S(=O)(=O)Nc2ccc(F)cc2C)cc1F,0.94368,0.94368
CC(C)C(=O)N1Cc2ccc(N)cc2C1,0.7085031,0.7085031
Cc1ccc(F)cc1NS(=O)(=O)c1ccc(F)cc1,0.9405925,0.9405925
COc1cccc(CNS(=O)(=O)c2ccccc2OC)c1,0.8881962,0.8881962
Cc1cccc(C(=O)NC(C)c2ccn(C)c(=O)c2)c1,0.9290867,0.9290867
COc1cc(C#N)ccc1NS(=O)(=O)Cc1cccc(C)c1,0.9196213,0.9196213
Cc1c(C#N)cccc1C(=O)NCCc1cccc(Cl)c1,0.9390865,0.9390865
COc1cccc(CC(=O)Nc2cccc(OC)c2)c1,0.909244,0.909244
O=S(=O)(NCc1ccccc1F)c1cccc(F)c1Cl,0.9415763,0.9415763
Cc1ccc(NC(=O)COc2ccccc2Cl)c(F)c1,0.9308132,0.9308132
COc1ccc(S(=O)(=O)Nc2ccccc2C)c(OC)c1,0.9222562,0.9222562
Cc1ccncc1CNS(=O)(=O)c1ccccc1Cl,0.9429475,0.9429475
N#Cc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1,0.9354701,0.9354701
COc1cc(F)cc(NS(=O)(=O)c2ccccc2)c1,0.9369452,0.9369452
N#Cc1ccccc1CNS(=O)(=O)c1ccncc1,0.9131128,0.9131128
CCc1ccc(CNS(=O)(=O)c2ccc(F)c(F)c2)c(F)c1,0.9158766,0.9158766
O=S(=O)(Nc1cc(F)ccc1F)c1ccccc1F,0.9431303,0.9431303
O=S(=O)(Nc1cccc(Cl)c1)c1ccc(Cl)cc1Cl,0.8999009,0.8999009
COc1ccc(C)cc1NC(=O)c1ccc(C)cc1N(C)C,0.9368614,0.9368614
O=S(=O)(NCc1cccnc1)c1cc(F)cc(Cl)c1,0.9427092,0.9427092
CCc1ccccc1C(Nc1cccc(C)c1)C1CC1,0.7907792,0.7907792
CC(NS(=O)(=O)c1ccc(Cl)cc1F)c1occc1F,0.9400246,0.9400246
CC(=O)Nc1ccc(C(=O)Nc2ccccc2)cc1,0.8843773,0.8843773
COc1ccc(CNC(=O)Cc2ccc(Cl)cc2)c(Cl)c1,0.906837,0.906837
Cc1ccccc1NC(=O)COc1ccc(S(C)(=O)=O)cc1,0.9183851,0.9183851
O=C(NC(=O)c1ccccc1Cl)c1ccccc1F,0.8577618,0.8577618
COc1cc(Cl)cc(NS(=O)(=O)c2cc(Cl)ccc2F)c1,0.9087355,0.9087355
O=S(=O)(Cc1ccc(Cl)cc1)Nc1cccc(F)c1,0.9400133,0.9400133
Cc1cc(F)ccc1CNS(=O)(=O)c1cccnc1,0.9316363,0.9316363
COc1cc(S(=O)(=O)NC2CCc3cccnc32)ccc1C,0.9394737,0.9394737
Cc1ccccc1S(=O)(=O)Nc1ccccc1F,0.9270598,0.9270598
Cc1cc(C)cc(S(=O)(=O)Nc2ccc(Cl)cc2)c1,0.9369671,0.9369671
CC(Nc1ccc(S(=O)(=O)N2CCC2)cc1)C(C)(C)C,0.9291165,0.9291165
N#Cc1cc(Cl)ccc1S(=O)(=O)Nc1cccc(Cl)c1,0.9349951,0.9349951
